address,suburb,earliest_confirmed_year,min_age_years,lead_score,age_confidence,address_match,area_m2,lot_m2,length_m,width_m,rect_fill,category,contact_name,contact_phone,contact_email,contact_website,postcode,council,pools_at_address,lat,lon,osm_id
40 HILLMONT AVENUE THORNLEIGH,THORNLEIGH,1991,35,81.2,1.0,exact,49.9,1064.3,9.6,5.2,0.999,residential,,,,,2120,HORNSBY,,-33.7308219,151.0860554,way/1287387873
8 GLENTREES PLACE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,40.7,951.3,8.7,4.7,1.0,residential,,,,,2126,HORNSBY,,-33.723888,151.045217,way/1289644615
22 LAWSON PLACE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,37.5,1071.3,8.3,4.5,0.999,residential,,,,,2126,HORNSBY,,-33.7286043,151.0570738,way/1290635998
8 MACQUARIE DRIVE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,36.8,1101.2,8.4,4.4,0.999,residential,,,,,2126,HORNSBY,,-33.7271362,151.0480293,way/1290644173
2 HOLLY ROAD CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,31.6,1027.6,7.9,4.0,0.999,residential,,,,,2126,HORNSBY,,-33.7274567,151.0457845,way/1292607623
17 MCCUSKER CRESCENT CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,43.3,841.7,9.7,4.5,0.999,residential,,,,,2126,HORNSBY,,-33.7234117,151.0362241,way/1294918501
16 IVY PLACE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,47.6,1030.6,10.0,4.7,1.0,residential,,,,,2126,HORNSBY,,-33.7245338,151.0451336,way/1294973377
18 PENROSE AVENUE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,45.5,1119.9,9.5,4.8,0.999,residential,,,,,2126,HORNSBY,,-33.7232886,151.0490684,way/1295482250
6 BOOTH PLACE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,43.9,1072.5,9.6,4.6,0.999,residential,,,,,2126,HORNSBY,,-33.7238414,151.0511358,way/1297348536
35 YANDERRA GROVE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,38.9,1096.1,8.8,4.4,0.999,residential,,,,,2126,HORNSBY,2,-33.7252755,151.0495728,way/1297371279
32 ELDERBERRY PLACE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,70.7,1097.6,11.3,6.3,0.999,residential,,,,,2126,HORNSBY,,-33.7302619,151.0507621,way/1298789374
2 FRERE PLACE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,50.5,1174.7,9.9,5.1,1.0,residential,,,,,2126,HORNSBY,,-33.7299989,151.0564266,way/1300450982
3 NUNDA CLOSE PENNANT HILLS,PENNANT HILLS,1991,35,81.2,0.95,nearby,65.0,1320.3,15.2,5.4,0.787,residential,,,,,2120,HORNSBY,,-33.7327032,151.0566915,way/1300453657
18 MYSON DRIVE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,32.9,1195.0,8.4,3.9,0.999,residential,,,,,2126,HORNSBY,2,-33.7296126,151.0396956,way/1298739720
6 WILLIS AVENUE PENNANT HILLS,PENNANT HILLS,1991,35,81.2,1.0,exact,42.8,1067.4,7.9,5.5,0.984,residential,,,,,2120,HORNSBY,,-33.7349596,151.0728609,way/1307926767
18 LYNWOOD CLOSE PENNANT HILLS,PENNANT HILLS,1991,35,81.2,0.9,exact,54.5,1089.2,9.4,6.3,0.914,residential,,,,,2120,HORNSBY,,-33.7333269,151.0680736,way/1308427491
4 MORRISON PLACE PENNANT HILLS,PENNANT HILLS,1991,35,81.2,1.0,exact,52.6,990.4,10.0,5.3,1.0,residential,,,,,2120,HORNSBY,,-33.7303185,151.0613615,way/1324342738
1C WILGA STREET WEST PENNANT HILLS,WEST PENNANT HILLS,1991,35,81.2,1.0,exact,33.4,882.0,7.2,4.6,0.999,residential,,,,,2125,THE HILLS SHIRE,,-33.7388707,151.050965,way/1327762622
26 LILLA ROAD PENNANT HILLS,PENNANT HILLS,1991,35,81.2,1.0,exact,35.5,1162.6,8.3,4.3,0.999,residential,,,,,2120,HORNSBY,,-33.7421807,151.0655254,way/1339004654
19 GIRRALONG AVENUE BAULKHAM HILLS,BAULKHAM HILLS,1991,35,81.2,1.0,exact,36.0,1031.4,8.6,4.4,0.951,residential,,,,,2153,THE HILLS SHIRE,,-33.7533318,151.0000174,way/690362847
6 ARUM WAY CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,37.7,991.6,8.9,4.3,0.999,residential,,,,,2126,HORNSBY,,-33.7314569,151.0442146,way/1298744945
WABASH AVENUE CROMER,CROMER,1986,40,81.2,0.51,exact,28.9,2530.9,7.3,4.7,0.84,residential,,,,,2099,NORTHERN BEACHES,2,-33.7336242,151.2766242,way/1426664555
6 WILIMA PLACE FRENCHS FOREST,FRENCHS FOREST,1986,40,81.2,0.61,exact,47.1,1258.0,8.7,5.4,1.0,residential,,,,,2086,NORTHERN BEACHES,,-33.7550618,151.2291944,way/868509301
60 COLLINS ROAD ST IVES,ST IVES,1991,35,81.2,1.0,exact,44.5,860.9,9.3,4.8,0.999,residential,,,,,2075,KU-RING-GAI,,-33.7211008,151.1598985,way/1310970101
82 MELLFELL ROAD CRANEBROOK,CRANEBROOK,1991,35,81.2,1.0,exact,37.1,910.7,7.6,4.9,1.0,residential,,,,,2749,PENRITH,,-33.7197256,150.7154778,way/1119284459
46 CORSAIR CRESCENT CRANEBROOK,CRANEBROOK,1991,35,81.2,1.0,exact,41.9,811.7,9.2,4.9,0.937,residential,,,,,2749,PENRITH,,-33.7186127,150.7033665,way/1122027652
17 CAROB PLACE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,0.8,exact,11.4,1175.5,6.0,3.2,0.591,residential,,,,,2126,HORNSBY,2,-33.7174215,151.0382679,way/587996276
10 CAROB PLACE CHERRYBROOK,CHERRYBROOK,1991,35,81.2,1.0,exact,38.2,1074.0,8.9,4.3,0.999,residential,,,,,2126,HORNSBY,,-33.7164759,151.0377433,way/1280493457
2 DUNLEY PLACE CASTLE HILL,CASTLE HILL,1991,35,81.2,1.0,exact,36.6,1199.6,8.6,4.3,1.0,residential,,,,,2154,THE HILLS SHIRE,2,-33.7182337,151.0281396,way/1299501511
64 BOORALIE ROAD TERREY HILLS,TERREY HILLS,1991,35,81.2,0.78,exact,31.4,1180.9,7.5,5.5,0.757,residential,,,,,2084,NORTHERN BEACHES,,-33.6787768,151.2227222,way/1318955659
28 COWRANG AVENUE TERREY HILLS,TERREY HILLS,1991,35,81.2,0.78,exact,54.1,1021.3,10.0,6.7,0.81,residential,,,,,2084,NORTHERN BEACHES,,-33.6783846,151.2260795,way/1320486713
32 PRETORIA PARADE HORNSBY,HORNSBY,1991,35,81.2,0.65,exact,35.0,1167.5,9.8,5.4,0.659,residential,,,,,2077,HORNSBY,,-33.7074773,151.0951307,way/1162332163
34B MIOWERA ROAD NORTH TURRAMURRA,NORTH TURRAMURRA,1991,35,81.2,0.9,exact,44.2,1084.9,11.3,4.8,0.826,residential,,,,,2074,KU-RING-GAI,,-33.712618,151.1502255,way/1310948690
25 UTINGU PLACE BAYVIEW,BAYVIEW,1991,35,81.2,0.65,exact,34.1,969.6,8.5,6.1,0.655,residential,,,,,2104,NORTHERN BEACHES,,-33.6652251,151.2967359,way/1321998159
30 ALGONA STREET BILGOLA PLATEAU,BILGOLA PLATEAU,1991,35,81.2,1.0,exact,38.8,1008.4,8.1,4.8,1.0,residential,,,,,2107,NORTHERN BEACHES,,-33.6498984,151.3114824,way/1551727881
10 KEARNS PLACE HORNINGSEA PARK,HORNINGSEA PARK,1986,40,81.1,0.65,exact,22.8,875.0,7.3,4.1,0.771,residential,,,,,2171,LIVERPOOL,,-33.9452933,150.838317,way/998912512
1 EDGECLIFFE AVENUE SOUTH COOGEE,SOUTH COOGEE,1986,40,81.1,0.74,exact,29.8,972.9,9.2,3.8,0.845,residential,,,,,2034,RANDWICK,,-33.9352888,151.2584774,way/954669760
11 MALLEY AVENUE EARLWOOD,EARLWOOD,1986,40,81.1,0.72,exact,38.2,1149.4,8.8,4.3,0.999,residential,,,,,2206,CANTERBURY-BANKSTOWN,,-33.9297444,151.1129154,way/1502875564
7-11 COTSWOLD ROAD STRATHFIELD,STRATHFIELD,1991,35,81.1,1.0,exact,29.5,2950.7,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,2,-33.8801622,151.0863321,way/564304986
41 NEWTON ROAD STRATHFIELD,STRATHFIELD,1986,40,81.1,0.72,exact,41.0,2020.7,10.3,4.0,1.0,residential,,,,,2135,STRATHFIELD,,-33.877964,151.0761664,way/564305204
1 SOUTH STREET STRATHFIELD,STRATHFIELD,1991,35,81.1,1.0,exact,41.0,1662.8,10.3,4.0,0.998,residential,,,,,2135,STRATHFIELD,2,-33.8776373,151.0775071,way/565666895
19 STRATHFIELD AVENUE STRATHFIELD,STRATHFIELD,1991,35,81.1,1.0,exact,41.0,1217.4,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8763952,151.0908803,way/565655451
3 COTSWOLD ROAD STRATHFIELD,STRATHFIELD,1986,40,81.1,0.52,exact,14.8,1487.9,8.9,3.3,0.5,residential,,,,,2135,STRATHFIELD,2,-33.8798987,151.0866879,way/567798247
39 KESSELL AVENUE HOMEBUSH WEST,HOMEBUSH WEST,1986,40,81.1,0.72,exact,61.5,916.2,11.0,5.6,0.999,residential,,,,,2140,STRATHFIELD,,-33.8680722,151.0714946,way/568398628
22 NEPEAN STREET EMU PLAINS,EMU PLAINS,1986,40,81.1,0.72,exact,37.7,943.5,8.9,4.5,0.944,residential,,,,,2750,PENRITH,,-33.7545702,150.6651621,way/459893557
12 LUCASVILLE ROAD GLENBROOK,GLENBROOK,1986,40,81.1,0.5,exact,28.0,1382.3,8.3,4.0,0.846,residential,,,,,2773,BLUE MOUNTAINS,,-33.7662355,150.6260363,way/967250483
15 GRETA PLACE HEBERSHAM,HEBERSHAM,1986,40,81.1,0.77,exact,11.4,921.9,5.0,2.7,0.859,residential,,,,,2770,BLACKTOWN,,-33.7395689,150.8278405,way/1410266431
56 LAURENCE STREET PENNANT HILLS,PENNANT HILLS,1991,35,81.1,0.88,exact,37.1,1341.9,8.3,4.5,0.999,residential,,,,,2120,HORNSBY,,-33.7309862,151.0618246,way/1299058541
65 NEW FARM ROAD WEST PENNANT HILLS,WEST PENNANT HILLS,1991,35,81.1,0.93,exact,39.3,772.1,9.4,5.4,0.769,residential,,,,,2125,THE HILLS SHIRE,,-33.7344573,151.0513539,way/1302501181
17 NUNDA CLOSE PENNANT HILLS,PENNANT HILLS,1991,35,81.1,0.88,exact,53.5,1380.7,9.2,5.8,0.999,residential,,,,,2120,HORNSBY,,-33.7327016,151.0583643,way/1305404560
26 WEARNE AVENUE PENNANT HILLS,PENNANT HILLS,1991,35,81.1,0.53,exact,45.1,1346.4,10.0,6.4,0.707,residential,,,,,2120,HORNSBY,2,-33.7317628,151.0656765,way/1319252522
8 THE PROMENADE CHELTENHAM,CHELTENHAM,1986,40,81.1,0.5,exact,58.3,1464.8,9.9,6.8,0.861,residential,,,,,2119,HORNSBY,,-33.7574652,151.0750935,way/1335934177
32 WOODHILL STREET CASTLE HILL,CASTLE HILL,1991,35,81.1,0.66,exact,30.9,1454.0,9.0,4.3,0.804,residential,,,,,2154,THE HILLS SHIRE,,-33.7420111,151.0031035,way/681292994
64 WOODHILL STREET CASTLE HILL,CASTLE HILL,1991,35,81.1,0.66,exact,39.2,1314.1,9.8,5.4,0.74,residential,,,,,2154,THE HILLS SHIRE,,-33.7446601,151.0059506,way/800897588
11 BOONAL STREET BAULKHAM HILLS,BAULKHAM HILLS,1986,40,81.1,0.5,exact,42.3,1029.0,10.5,5.0,0.816,residential,,,,,2153,THE HILLS SHIRE,,-33.7489739,150.9737094,way/1535311009
FITZPATRICK AVENUE EAST FRENCHS FOREST,EAST FRENCHS FOREST,1986,40,81.1,0.77,nearby,28.1,2850.6,7.7,3.7,0.999,residential,,,,,,,2,-33.7539267,151.2344805,way/868518742
23 CROMER ROAD CROMER,CROMER,1986,40,81.1,0.62,exact,36.2,872.8,8.8,4.7,0.869,residential,,,,,2099,NORTHERN BEACHES,,-33.7297147,151.2676606,way/1426664486
66 BARRIE STREET EAST KILLARA,EAST KILLARA,1986,40,81.1,0.6,exact,45.2,1245.4,9.7,4.7,1.0,residential,,,,,2071,KU-RING-GAI,,-33.7570013,151.1840066,way/1026359737
52 BARWON AVENUE SOUTH TURRAMURRA,SOUTH TURRAMURRA,1986,40,81.1,0.6,exact,33.4,1792.2,7.9,4.2,0.998,residential,,,,,2074,KU-RING-GAI,,-33.7492177,151.1046826,way/941632501
5 TROON PLACE PYMBLE,PYMBLE,1991,35,81.1,0.88,exact,48.9,1550.8,10.0,4.9,1.0,residential,,,,,2073,KU-RING-GAI,,-33.747119,151.1273045,way/942757469
16 DENNIS AVENUE WAHROONGA,WAHROONGA,1991,35,81.1,0.53,exact,37.4,1682.1,9.5,5.5,0.718,residential,,,,,2076,KU-RING-GAI,,-33.729331,151.1112051,way/1305660041
3 LENNOX STREET GLENBROOK,GLENBROOK,1986,40,81.1,0.72,exact,39.5,1072.6,9.1,4.4,1.0,residential,,,,,2773,BLUE MOUNTAINS,,-33.7642211,150.6157766,way/980544706
61 BUNDARRA AVENUE WAHROONGA,WAHROONGA,1991,35,81.1,0.88,exact,46.7,1393.0,9.5,4.9,0.999,residential,,,,,2076,KU-RING-GAI,,-33.7110255,151.1131466,way/1241328242
4A BURNS ROAD WAHROONGA,WAHROONGA,1991,35,81.1,0.78,exact,35.4,2172.5,9.3,4.5,0.851,residential,,,,,2076,KU-RING-GAI,,-33.7120565,151.1162632,way/1241475575
19 GWYDIR AVENUE NORTH TURRAMURRA,NORTH TURRAMURRA,1991,35,81.1,0.78,exact,50.1,1618.2,10.0,5.9,0.848,residential,,,,,2074,KU-RING-GAI,,-33.6979429,151.143617,way/1310809426
125 JUNCTION LANE WAHROONGA,WAHROONGA,1991,35,81.1,0.93,exact,22.1,1996.4,5.2,4.9,0.867,residential,,,,,2076,KU-RING-GAI,,-33.7110868,151.134303,way/1310809518
11 ROWAN STREET MONA VALE,MONA VALE,1986,40,81.1,0.5,exact,49.4,1348.6,10.1,5.7,0.854,residential,,,,,2103,NORTHERN BEACHES,,-33.6835976,151.3022199,way/1332479801
126 WALLUMATTA ROAD NEWPORT,NEWPORT,1986,40,81.1,0.62,exact,41.0,1045.6,11.5,4.9,0.729,residential,,,,,2106,NORTHERN BEACHES,,-33.6514419,151.3066929,way/1535261681
22 WILSON STREET STRATHFIELD,STRATHFIELD,1986,40,81.0,1.0,nearby,29.5,881.5,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,,-33.8795621,151.0738215,way/564305011
107 NEWTON ROAD STRATHFIELD,STRATHFIELD,1986,40,81.0,1.0,nearby,41.0,1101.5,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8771354,151.0692455,way/564305054
3 MYRNA ROAD STRATHFIELD,STRATHFIELD,1986,40,81.0,1.0,nearby,29.5,954.4,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,,-33.8788888,151.0760481,way/564305128
128 BARKER ROAD STRATHFIELD,STRATHFIELD,1986,40,81.0,1.0,nearby,29.4,1000.4,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,,-33.875717,151.0688254,way/565655620
1 CROSS STREET STRATHFIELD,STRATHFIELD,1986,40,81.0,1.0,nearby,41.0,912.4,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,2,-33.886648,151.0876338,way/565667068
49 AUGUSTA STREET STRATHFIELD,STRATHFIELD,1986,40,81.0,1.0,nearby,29.5,928.4,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,,-33.8852612,151.077677,way/565655669
17 CAVE ROAD STRATHFIELD,STRATHFIELD,1986,40,81.0,1.0,nearby,41.0,940.0,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8861043,151.0752319,way/565667073
23 BLACK STREET VAUCLUSE,VAUCLUSE,1991,35,81.0,0.99,exact,44.4,910.2,8.7,5.2,0.987,residential,,,,,2030,WOOLLAHRA,,-33.8621901,151.275576,way/955398602
44 FRANCIS GREENWAY DRIVE CHERRYBROOK,CHERRYBROOK,1991,35,81.0,0.99,exact,48.9,1087.0,8.6,5.7,0.999,residential,,,,,2126,HORNSBY,,-33.7279984,151.0486297,way/1290191937
4 TODD CLOSE CHERRYBROOK,CHERRYBROOK,1991,35,81.0,0.99,exact,61.4,846.3,10.5,5.9,0.999,residential,,,,,2126,HORNSBY,,-33.7249802,151.048539,way/1294919767
11 PARKHILL CRESCENT CHERRYBROOK,CHERRYBROOK,1991,35,81.0,0.94,nearby,36.7,1342.0,10.8,4.7,0.733,residential,,,,,2126,HORNSBY,,-33.7262392,151.0541125,way/1294973125
5 STEVENS STREET PENNANT HILLS,PENNANT HILLS,1991,35,81.0,0.69,nearby,43.5,1810.8,10.1,6.3,0.688,residential,,,,,2120,HORNSBY,,-33.7348478,151.0741791,way/1300448272
41 STAR CRESCENT WEST PENNANT HILLS,WEST PENNANT HILLS,1991,35,81.0,0.99,exact,62.9,1190.4,11.6,5.4,1.0,residential,,,,,2125,THE HILLS SHIRE,,-33.7353407,151.0561181,way/1302200499
4 PRIORY CLOSE CHERRYBROOK,CHERRYBROOK,1991,35,81.0,0.77,exact,48.6,1079.9,10.7,5.7,0.799,residential,,,,,2126,HORNSBY,,-33.7334983,151.041796,way/1307031710
1/726 PITTWATER ROAD BROOKVALE,BROOKVALE,1986,40,81.0,0.65,exact,38.3,635.0,9.3,5.1,0.808,residential,,,,,2100,NORTHERN BEACHES,,-33.7614004,151.2730873,way/1033367517
10 DOWLING STREET QUEENSCLIFF,QUEENSCLIFF,1986,40,81.0,0.65,exact,75.2,623.7,11.4,8.2,0.81,residential,,,,,2096,NORTHERN BEACHES,,-33.7803826,151.2829645,way/1028922652
12 KRISTINE PLACE CHERRYBROOK,CHERRYBROOK,1991,35,81.0,0.99,exact,33.4,1137.7,8.8,4.0,0.961,residential,,,,,2126,HORNSBY,,-33.7144298,151.0372559,way/1270615754
9 YALLAMBEE PLACE TERREY HILLS,TERREY HILLS,1991,35,81.0,0.77,exact,45.5,1144.9,10.3,5.3,0.832,residential,,,,,2084,NORTHERN BEACHES,,-33.6838112,151.2244175,way/1318964526
5/62 ALBERT STREET HORNSBY,HORNSBY,1991,35,81.0,0.79,exact,22.8,971.5,7.1,4.8,0.662,residential,,,,,2077,HORNSBY,,-33.6989092,151.1030903,way/571951165
205 WILLIAM STREET EARLWOOD,EARLWOOD,1991,35,80.9,0.94,exact,24.0,637.2,6.3,5.8,0.656,residential,,,,,2206,CANTERBURY-BANKSTOWN,,-33.927055,151.1118145,way/1332915430
10 MELVILLE AVENUE STRATHFIELD,STRATHFIELD,1986,40,80.9,0.83,exact,41.0,1130.2,10.3,4.0,0.998,residential,,,,,2135,STRATHFIELD,,-33.8784191,151.0706012,way/564305052
31 NEWTON ROAD STRATHFIELD,STRATHFIELD,1986,40,80.9,0.88,nearby,29.5,1223.5,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,,-33.8781762,151.0774845,way/564305206
49 MERLEY ROAD STRATHFIELD,STRATHFIELD,1986,40,80.9,0.71,exact,41.0,1391.8,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8736684,151.0769971,way/564305295
19 COTSWOLD ROAD STRATHFIELD,STRATHFIELD,1986,40,80.9,0.83,exact,41.0,1137.1,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8811227,151.0862025,way/565655614
21 NEWTON ROAD STRATHFIELD,STRATHFIELD,1986,40,80.9,0.71,exact,29.5,2060.4,8.2,3.6,0.998,residential,,,,,2135,STRATHFIELD,2,-33.8783174,151.0786064,way/565655636
137 SEAFORTH CRESCENT SEAFORTH,SEAFORTH,1986,40,80.9,0.68,nearby,34.6,799.3,9.3,5.2,0.716,residential,,,,,2092,NORTHERN BEACHES,,-33.8015612,151.2369372,way/1368371269
12 BOWER STREET MANLY,MANLY,1986,40,80.9,0.76,exact,27.0,1075.7,6.9,4.6,0.859,residential,,,,,2095,NORTHERN BEACHES,,-33.8016355,151.2980742,way/584529892
18 JULIA CLOSE CHERRYBROOK,CHERRYBROOK,1991,35,80.9,0.87,exact,29.3,1294.5,7.8,3.8,1.0,residential,,,,,2126,HORNSBY,2,-33.730869,151.0547542,way/1298791273
37A AUSTRAL AVENUE BEECROFT,BEECROFT,1986,40,80.9,0.52,exact,21.5,2482.8,7.7,3.8,0.725,residential,,,,,2119,HORNSBY,,-33.7543179,151.0611579,way/1332602958
65 CAMBEWARRA AVENUE CASTLE HILL,CASTLE HILL,1991,35,80.9,0.77,exact,50.3,1335.3,11.1,5.3,0.86,residential,,,,,2154,THE HILLS SHIRE,,-33.7458329,151.0040921,way/689821028
9 MILFORD GROVE CHERRYBROOK,CHERRYBROOK,1998,28,80.9,0.85,exact,35.0,1239.4,8.5,5.7,0.718,residential,,,,,2126,HORNSBY,,-33.7292944,151.028656,way/1302685995
3 CHELTENHAM CLOSE CASTLE HILL,CASTLE HILL,1991,35,80.9,0.77,exact,56.5,1491.3,9.7,6.7,0.87,residential,,,,,2154,THE HILLS SHIRE,,-33.7280744,151.0113529,way/1323168050
16 PARNI PLACE FRENCHS FOREST,FRENCHS FOREST,1986,40,80.9,0.71,exact,32.4,1014.6,7.4,4.4,1.0,residential,,,,,2086,NORTHERN BEACHES,,-33.7556044,151.2256012,way/868518708
85 TORONTO AVENUE CROMER,CROMER,1986,40,80.9,0.71,exact,30.1,1064.9,7.8,3.9,0.999,residential,,,,,2099,NORTHERN BEACHES,2,-33.7312688,151.2665045,way/1426664549
4 BLIGH STREET EAST KILLARA,EAST KILLARA,1986,40,80.9,0.59,exact,31.6,1259.7,7.9,4.0,0.999,residential,,,,,2071,KU-RING-GAI,,-33.755242,151.1757632,way/1026359738
44 ATHENA AVENUE ST IVES,ST IVES,1991,35,80.9,0.77,exact,53.8,1513.9,10.6,5.9,0.864,residential,,,,,2075,KU-RING-GAI,2,-33.7208462,151.1806923,way/1311146848
20 CABER CLOSE DURAL,DURAL,1998,28,80.9,0.85,exact,52.8,1424.5,9.5,9.0,0.618,residential,,,,,2158,HORNSBY,2,-33.7188908,151.0310612,way/1276087112
2 ESK STREET NORTH WAHROONGA,NORTH WAHROONGA,1991,35,80.9,0.87,exact,42.7,1748.2,9.7,4.7,0.936,residential,,,,,2076,KU-RING-GAI,,-33.7055158,151.1389809,way/1310809476
43 JUNCTION ROAD WAHROONGA,WAHROONGA,1991,35,80.9,0.77,exact,28.0,2154.1,7.8,3.9,0.909,residential,,,,,2076,KU-RING-GAI,,-33.709942,151.1241646,way/1490455530
21 HAMPSON AVENUE MAROUBRA,MAROUBRA,1986,40,80.8,0.82,exact,38.0,857.4,9.9,3.8,1.0,residential,,,,,2035,RANDWICK,,-33.9377303,151.2511302,way/482439043
15 VIRGINIA STREET KENSINGTON,KENSINGTON,1986,40,80.8,0.7,exact,37.5,991.8,8.7,4.3,0.999,residential,,,,,2033,RANDWICK,,-33.9100843,151.2149734,way/1445760336
147 HOMEBUSH ROAD STRATHFIELD,STRATHFIELD,1986,40,80.8,0.82,exact,41.0,1189.0,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8823875,151.0846576,way/565666992
15 WALLIS AVENUE STRATHFIELD,STRATHFIELD,1986,40,80.8,0.99,nearby,41.0,1084.7,10.3,4.0,0.999,residential,,,,,2135,STRATHFIELD,,-33.8801558,151.0802881,way/565667258
86 ABBOTSFORD ROAD HOMEBUSH,HOMEBUSH,1991,35,80.8,0.98,exact,61.5,980.0,11.0,5.6,0.999,residential,,,,,2140,STRATHFIELD,,-33.86785,151.0792766,way/574683445
6/2 HAMILTON STREET ROSE BAY,ROSE BAY,1986,40,80.8,0.77,nearby,41.7,1006.3,8.9,5.5,0.852,residential,,,,,2029,WOOLLAHRA,,-33.8704288,151.2725323,way/875174253
31 NAPIER STREET DOVER HEIGHTS,DOVER HEIGHTS,1991,35,80.8,1.0,exact,28.8,928.6,9.7,3.4,0.877,residential,,,,,2030,WAVERLEY,,-33.873938,151.2814845,way/875174281
11 QUEENS AVENUE VAUCLUSE,VAUCLUSE,1991,35,80.8,1.0,exact,43.0,856.2,10.3,4.6,0.911,residential,,,,,2030,WOOLLAHRA,,-33.8615711,151.2696249,way/955398566
18 COONAWARRA DRIVE ST CLAIR,ST CLAIR,1991,35,80.8,0.88,exact,38.1,829.8,9.9,4.6,0.843,residential,,,,,2759,PENRITH,,-33.7982375,150.7951583,way/1015236587
1 BALMORAL DRIVE CAMBRIDGE PARK,CAMBRIDGE PARK,1986,40,80.8,0.75,exact,23.9,896.9,7.6,3.5,0.893,residential,,,,,2747,PENRITH,,-33.7521302,150.7262979,way/1457047207
26 VALLEY VIEW CRESCENT NORTH EPPING,NORTH EPPING,1986,40,80.8,0.6,exact,40.1,1051.0,9.0,5.2,0.858,residential,,,,,2121,HORNSBY,,-33.7581897,151.0880733,way/1020184422
15 HIBISCUS PLACE CHERRYBROOK,CHERRYBROOK,1991,35,80.8,0.98,exact,40.9,1069.4,8.4,4.9,0.998,residential,,,,,2126,HORNSBY,,-33.7255676,151.0413919,way/1292590984
19 FRANKLIN ROAD CHERRYBROOK,CHERRYBROOK,1991,35,80.8,0.76,exact,46.2,1146.5,9.9,6.4,0.732,residential,,,,,2126,HORNSBY,2,-33.7285717,151.038175,way/1294968821
71A NEW FARM ROAD WEST PENNANT HILLS,WEST PENNANT HILLS,1991,35,80.8,0.76,exact,45.2,898.3,10.4,5.4,0.814,residential,,,,,2125,THE HILLS SHIRE,,-33.7338673,151.051889,way/1304231015
11 MAPLE AVENUE PENNANT HILLS,PENNANT HILLS,1991,35,80.8,0.88,exact,49.5,1137.4,11.1,5.3,0.849,residential,,,,,2120,HORNSBY,,-33.7340035,151.0682444,way/1304238572
10 BEECROFT ROAD BEECROFT,BEECROFT,1991,35,80.8,0.93,nearby,46.8,1395.5,12.4,4.7,0.806,residential,,,,,2119,HORNSBY,,-33.7423428,151.0627766,way/1315511936
2 GUMLEAF PLACE WEST PENNANT HILLS,WEST PENNANT HILLS,1991,35,80.8,0.93,nearby,53.8,1470.5,9.6,6.5,0.859,residential,,,,,2125,THE HILLS SHIRE,,-33.7439578,151.0427534,way/1340698294
5 DERWENT PLACE CASTLE HILL,CASTLE HILL,1991,35,80.8,0.63,exact,33.5,999.8,10.1,4.8,0.698,residential,,,,,2154,THE HILLS SHIRE,,-33.7484311,150.99654,way/680248232
107 PARSONAGE ROAD CASTLE HILL,CASTLE HILL,1986,40,80.8,0.75,exact,23.3,1024.7,8.2,3.7,0.765,residential,,,,,2154,THE HILLS SHIRE,,-33.7344223,150.989268,way/681510281
29 CONNAUGHT STREET NARRAWEENA,NARRAWEENA,1986,40,80.8,0.75,exact,27.6,1132.0,6.9,4.6,0.856,residential,,,,,2099,NORTHERN BEACHES,,-33.7571986,151.2720584,way/1033367496
62 BEACON HILL ROAD BEACON HILL,BEACON HILL,1986,40,80.8,0.65,nearby,43.0,981.7,10.2,5.1,0.83,residential,,,,,2100,NORTHERN BEACHES,,-33.7582333,151.2662534,way/1033367555
105 ANZAC AVENUE COLLAROY PLATEAU,COLLAROY PLATEAU,1986,40,80.8,0.8,nearby,20.2,865.6,6.4,4.3,0.738,residential,,,,,2097,NORTHERN BEACHES,,-33.7355755,151.2906797,way/1426053029
