address,suburb,postcode,council,earliest_confirmed_year,min_age_years,lead_score,age_confidence,address_match,area_m2,lot_m2,length_m,width_m,rect_fill,category,pools_at_address,reno_state,ti_now,contact_name,contact_phone,contact_email,contact_website,lat,lon,osm_id
5 AUTUMN LEAF GROVE CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,69.3,0.53,exact,35.4,1114.7,9.7,4.8,0.765,residential,,renovated_pre2005,0.503,,,,,-33.7345183,151.0474147,way/1307032207
149 VICTORIA ROAD WEST PENNANT HILLS,WEST PENNANT HILLS,2125,THE HILLS SHIRE,1991,35,69.3,0.53,exact,52.0,1998.1,9.3,6.6,0.854,residential,,renovated_pre2005,0.492,,,,,-33.7410444,151.0457331,way/1339006118
18 AMBLESIDE DRIVE CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1986,40,69.3,0.89,exact,39.2,1114.8,11.5,3.8,0.884,residential,,mid_tone,0.672,,,,,-33.7463405,150.9957974,way/680248210
97 TORONTO AVENUE CROMER,CROMER,2099,NORTHERN BEACHES,1991,35,69.3,0.53,exact,47.1,997.0,10.8,5.5,0.794,residential,,renovated_pre2005,0.481,,,,,-33.7318687,151.2654825,way/1364764836
1A MUDIES ROAD ST IVES,ST IVES,2075,KU-RING-GAI,1998,28,69.3,0.76,exact,53.7,1507.2,11.3,6.5,0.728,residential,,renovated_pre2005,0.375,,,,,-33.7199717,151.1593636,way/1311159251
19 KANANGRA CRESCENT CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,69.3,0.73,exact,37.4,1102.3,7.3,5.1,0.999,residential,,renovated_pre2005,0.497,,,,,-33.7156135,151.0496818,way/1279622628
8 MILSTED ROAD TERREY HILLS,TERREY HILLS,2084,NORTHERN BEACHES,1991,35,69.3,0.89,nearby,58.1,1046.3,10.9,6.0,0.889,residential,,renovated_pre2005,0.421,,,,,-33.678807,151.2276498,way/1320486708
68 JACARANDA PLACE SOUTH COOGEE,SOUTH COOGEE,2034,RANDWICK,1998,28,69.2,0.43,exact,33.9,345.8,9.1,4.2,0.889,residential,,original_finish,1.047,,,,,-33.9320746,151.2527472,way/954669732
12 CAVE ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,69.2,0.98,exact,29.5,807.0,8.2,3.6,0.998,residential,,mid_tone,0.679,,,,,-33.8862064,151.0754146,way/565667094
18 HOMEDALE AVENUE CONCORD,CONCORD,2137,CANADA BAY,2005,21,69.2,0.78,exact,25.4,915.9,6.6,3.9,0.999,residential,,original_finish,0.814,,,,,-33.860022,151.0941279,way/677396052
141 CROYDON AVENUE CROYDON PARK,CROYDON PARK,2133,CANTERBURY-BANKSTOWN,1986,40,69.2,1.0,nearby,68.7,2170.1,11.5,6.0,0.999,residential,,mid_tone,0.667,,,,,-33.8960242,151.1108713,way/1456394207
32 GILBERT STREET DOVER HEIGHTS,DOVER HEIGHTS,2030,WAVERLEY,1991,35,69.2,0.95,exact,45.5,840.0,9.3,6.3,0.782,residential,,mid_tone,0.793,,,,,-33.8703368,151.2792194,way/875174201
1 HAMILTON STREET ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,69.2,0.87,exact,48.4,1013.6,9.3,5.2,0.993,residential,,mid_tone,0.585,,,,,-33.8712243,151.2724082,way/875174220
8 ROBERTS STREET ROSE BAY,ROSE BAY,2029,WOOLLAHRA,2005,21,69.2,0.85,exact,54.9,445.1,12.4,5.3,0.835,residential,,original_finish,1.016,,,,,-33.8707923,151.2764975,way/875174233
19 COOLONG ROAD VAUCLUSE,VAUCLUSE,2030,WOOLLAHRA,1986,40,69.2,1.0,nearby,46.9,2720.3,9.7,4.9,0.973,residential,,mid_tone,0.568,,,,,-33.850898,151.2712346,way/1186661937
32 KITCHENER STREET BALGOWLAH,BALGOWLAH,2093,NORTHERN BEACHES,1998,28,69.2,0.32,exact,26.7,956.7,8.1,3.3,0.999,residential,,original_finish,0.993,,,,,-33.7897022,151.2585962,way/393214745
23 KIRKWOOD STREET SEAFORTH,SEAFORTH,2092,NORTHERN BEACHES,1986,40,69.2,0.44,exact,32.4,1067.4,7.8,4.2,1.0,residential,,renovated_pre2005,0.48,,,,,-33.7820151,151.2393472,way/1097876311
1 ARMSTRONG STREET SEAFORTH,SEAFORTH,2092,NORTHERN BEACHES,1986,40,69.2,0.75,exact,28.2,1379.0,5.6,5.0,0.999,residential,,mid_tone,0.589,,,,,-33.7861587,151.2403367,way/1097876339
58 CASTLE CIRCUIT SEAFORTH,SEAFORTH,2092,NORTHERN BEACHES,1986,40,69.2,0.44,exact,36.2,874.4,8.0,4.5,0.999,residential,,renovated_pre2005,0.444,,,,,-33.7887574,151.2374054,way/1354373713
33 EDINBURGH ROAD WILLOUGHBY EAST,WILLOUGHBY EAST,2068,WILLOUGHBY,2005,21,69.2,0.64,exact,38.0,910.9,8.4,4.5,0.999,residential,,original_finish,0.929,,,,,-33.8020911,151.2073722,way/1518201827
44 SPRING STREET BEECROFT,BEECROFT,2119,HORNSBY,1991,35,69.2,1.0,exact,51.6,1214.3,12.2,6.2,0.676,residential,,dark_throughout,0.442,,,,,-33.7446462,151.0580598,way/905272787
31 HILLCREST AVENUE EPPING,EPPING,2121,CITY OF PARRAMATTA,2005,21,69.2,0.59,exact,40.1,718.8,8.5,6.2,0.767,residential,,original_finish,0.912,,,,,-33.7696173,151.071175,way/930831820
62 FRANCIS GREENWAY DRIVE CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,69.2,0.86,nearby,41.2,1712.2,8.2,5.0,1.0,residential,,renovated_pre2005,0.323,,,,,-33.7272976,151.0496064,way/1290252292
12 PARKHILL CRESCENT CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,69.2,0.97,nearby,28.3,1326.3,8.2,5.5,0.63,residential,,mid_tone,0.603,,,,,-33.7263294,151.053854,way/1294919416
8 MAPLE AVENUE PENNANT HILLS,PENNANT HILLS,2120,HORNSBY,1991,35,69.2,0.95,exact,46.5,999.9,10.0,5.7,0.821,residential,,mid_tone,0.589,,,,,-33.7344933,151.0690024,way/1318341418
44 VICTORIA ROAD PENNANT HILLS,PENNANT HILLS,2120,HORNSBY,1991,35,69.2,0.95,exact,37.6,1516.5,9.0,4.8,0.863,residential,,mid_tone,0.659,,,,,-33.7378994,151.0586097,way/1326200862
16 JORDANA PLACE CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1991,35,69.2,0.52,exact,30.1,1144.4,7.8,4.8,0.804,residential,,renovated_pre2005,0.383,,,,,-33.7445036,151.0102823,way/800897531
601 WARRINGAH ROAD FRENCHS FOREST,FRENCHS FOREST,2086,NORTHERN BEACHES,1986,40,69.2,0.75,exact,61.4,2435.6,11.4,5.4,0.999,residential,,mid_tone,0.556,,,,,-33.7547231,151.2234913,way/868518757
37 BARRIE STREET EAST KILLARA,EAST KILLARA,2071,KU-RING-GAI,1986,40,69.2,0.75,exact,37.7,1205.0,8.8,4.3,0.999,residential,,mid_tone,0.736,,,,,-33.756534,151.1828241,way/1026359735
39 DOUGLAS STREET ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,69.2,0.95,exact,51.9,1537.8,10.9,5.6,0.852,residential,2,mid_tone,0.67,,,,,-33.7248745,151.1694491,way/1312577852
23 GREVILLEA AVENUE ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,69.2,0.95,exact,48.3,1860.9,10.2,5.5,0.861,residential,,mid_tone,0.653,,,,,-33.7339889,151.1722633,way/1346335033
10 TOROKINA AVENUE ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,69.2,0.84,exact,39.1,1431.7,9.9,4.9,0.804,residential,,mid_tone,0.76,,,,,-33.7372784,151.1674813,way/1497565173
12 HILLARY STREET WEST PYMBLE,WEST PYMBLE,2073,KU-RING-GAI,1986,40,69.2,0.66,exact,34.2,1331.2,8.9,4.3,0.89,residential,,mid_tone,0.697,,,,,-33.7618125,151.1220412,way/1311136525
27 MERRIWA STREET GORDON,GORDON,2072,KU-RING-GAI,1986,40,69.2,1.0,nearby,47.0,2597.2,9.9,4.7,1.0,residential,,mid_tone,0.627,,,,,-33.7531976,151.1461377,way/1330089817
20 BROADOAK PLACE CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1991,35,69.2,0.29,exact,39.3,1487.4,10.8,5.3,0.684,residential,,renovated_pre2005,0.52,,,,,-33.7147612,151.0211958,way/1315330291
14 ESK STREET NORTH WAHROONGA,NORTH WAHROONGA,2076,KU-RING-GAI,1991,35,69.2,1.0,exact,54.6,1423.1,10.8,7.1,0.714,residential,,dark_throughout,0.365,,,,,-33.7050814,151.1370819,way/1310809477
7 CLWYDON PLACE WAHROONGA,WAHROONGA,2076,KU-RING-GAI,1991,35,69.2,1.0,exact,50.1,1461.6,10.0,7.0,0.716,residential,,dark_throughout,0.549,,,,,-33.7143807,151.1193936,way/1482772741
6 LEXIA CLOSE MONA VALE,MONA VALE,2103,NORTHERN BEACHES,1986,40,69.2,0.95,exact,46.2,1150.2,9.4,5.9,0.833,residential,,dark_throughout,0.493,,,,,-33.6804758,151.2983331,way/1334461069
38 PEMBERTON STREET STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,69.1,0.54,exact,41.1,993.7,10.3,4.0,0.999,residential,,renovated_pre2005,0.392,,,,,-33.8744149,151.0697485,way/564305264
145 WENTWORTH ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,69.1,0.97,exact,29.5,811.8,8.2,3.6,0.998,residential,,mid_tone,0.644,,,,,-33.8848745,151.0954657,way/565666982
39 SALISBURY ROAD ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,69.1,0.86,exact,41.6,998.8,9.7,4.6,0.934,residential,,mid_tone,0.726,,,,,-33.875254,151.2575542,way/955413872
16 ELFRIDA STREET MOSMAN,MOSMAN,2088,MOSMAN,1998,28,69.1,0.85,exact,43.0,1982.1,11.5,5.0,0.743,residential,,renovated_pre2005,0.413,,,,,-33.8377584,151.2417761,way/1535188838
118 AGINCOURT ROAD MARSFIELD,MARSFIELD,2122,RYDE,2005,21,69.1,0.56,nearby,37.7,825.9,9.6,5.8,0.684,residential,,original_finish,0.848,,,,,-33.7862037,151.1058572,way/1190530497
8 KEDRON AVENUE BEECROFT,BEECROFT,2119,HORNSBY,1986,40,69.1,0.94,exact,32.7,1581.1,9.8,4.1,0.812,residential,,dark_throughout,0.486,,,,,-33.7550945,151.0580819,way/1203839738
15 ROWENA PLACE CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1998,28,69.1,0.85,exact,41.2,1451.1,9.7,5.0,0.845,residential,,renovated_pre2005,0.468,,,,,-33.7206165,151.0341507,way/1289653028
92 BEACON HILL ROAD BEACON HILL,BEACON HILL,2100,NORTHERN BEACHES,1986,40,69.1,0.86,exact,39.8,988.1,9.1,4.4,1.0,residential,,mid_tone,0.623,,,,,-33.7559355,151.2638999,way/1033367572
70 WASHINGTON AVENUE CROMER,CROMER,2099,NORTHERN BEACHES,1986,40,69.1,0.51,nearby,21.7,1472.6,6.5,4.2,0.783,residential,,renovated_pre2005,0.472,,,,,-33.7334836,151.2690509,way/1364779728
17 SIR HENRYS PARADE FAULCONBRIDGE,FAULCONBRIDGE,2776,BLUE MOUNTAINS,1991,35,69.1,0.83,exact,60.3,2034.7,10.0,7.8,0.779,residential,,mid_tone,0.585,,,,,-33.6953483,150.5370225,way/968083960
3A FRASER ROAD COWAN,COWAN,2081,HORNSBY,1991,35,69.1,0.83,exact,45.5,1839.6,8.3,6.7,0.818,residential,,mid_tone,0.625,,,,,-33.5908101,151.1700917,way/1330540773
622 PORT HACKING ROAD DOLANS BAY,DOLANS BAY,2229,SUTHERLAND SHIRE,1998,28,69.0,0.85,exact,31.2,1099.5,8.5,4.8,0.771,residential,,renovated_pre2005,0.488,,,,,-34.0649521,151.1235337,way/1493402779
4 MOOREFIELD AVENUE KOGARAH,KOGARAH,2217,GEORGES RIVER,1986,40,69.0,0.8,exact,38.5,698.6,9.8,4.9,0.805,residential,,mid_tone,0.798,,,,,-33.9658152,151.1426608,way/1498329118
114 JOYNTON AVENUE ZETLAND,ZETLAND,2017,SYDNEY,1986,40,69.0,0.99,nearby,37.4,2536.2,8.7,4.3,0.999,residential,,mid_tone,0.645,,,,,-33.9075466,151.2076253,way/1445760328
5 NAIRN STREET KINGSGROVE,KINGSGROVE,2208,GEORGES RIVER,1998,28,69.0,0.45,exact,15.6,682.1,6.7,2.3,0.999,residential,,original_finish,0.824,,,,,-33.9378585,151.1054514,way/1539628663
48 BARKER ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,69.0,0.85,exact,29.6,1206.7,8.2,3.6,0.999,residential,2,mid_tone,0.67,,,,,-33.8773204,151.0778353,way/565666931
50B SHORTLAND AVENUE STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1998,28,69.0,0.47,exact,29.6,444.7,8.2,3.6,1.0,residential,,original_finish,0.942,,,,,-33.8736614,151.0728364,way/564305196
18 ABBOTSFORD ROAD HOMEBUSH,HOMEBUSH,2140,STRATHFIELD,1998,28,69.0,0.31,nearby,28.8,934.6,7.8,3.7,1.0,residential,,original_finish,1.008,,,,,-33.8698677,151.0854037,way/573748556
79 QUEEN STREET ASHFIELD,ASHFIELD,2131,INNER WEST,1998,28,69.0,0.3,exact,19.0,1103.3,6.7,2.9,0.998,residential,,original_finish,0.83,,,,,-33.8963471,151.1271737,way/611782853
142 BELLEVUE ROAD BELLEVUE HILL,BELLEVUE HILL,2023,WOOLLAHRA,1986,40,69.0,0.74,exact,47.2,1989.3,9.1,5.4,0.971,residential,,mid_tone,0.693,,,,,-33.8794719,151.2478862,way/833710649
49 CHAMBERLAIN AVENUE ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1991,35,69.0,0.62,exact,38.3,980.2,10.8,4.3,0.834,residential,,renovated_pre2005,0.536,,,,,-33.8648843,151.2746931,way/875174135
3 THOMPSON STREET MOSMAN,MOSMAN,2088,MOSMAN,1998,28,69.0,0.85,exact,42.6,1031.0,9.8,5.5,0.782,residential,,renovated_pre2005,0.443,,,,,-33.8391622,151.2471475,way/1534247352
45 BRADLEYS HEAD ROAD MOSMAN,MOSMAN,2088,MOSMAN,1991,35,69.0,0.98,nearby,65.0,1008.9,13.4,5.5,0.885,residential,,renovated_pre2005,0.528,,,,,-33.837073,151.245958,way/1535188873
63 THE BULWARK CASTLECRAG,CASTLECRAG,2068,WILLOUGHBY,2005,21,69.0,0.42,exact,36.7,945.7,9.3,5.5,0.722,residential,,original_finish,0.974,,,,,-33.8015574,151.2209074,way/1160023868
11 EAGLE STREET RYDE,RYDE,2112,RYDE,2005,21,69.0,0.62,exact,41.8,927.5,8.8,4.8,0.999,residential,,original_finish,1.0,,,,,-33.8172781,151.1039163,way/1258468359
13 HALES PLACE BLACKETT,BLACKETT,2770,BLACKTOWN,1998,28,69.0,0.06,exact,75.1,1043.1,12.0,6.3,1.0,public_commercial,,original_finish,0.91,,,,,-33.7424689,150.8114541,way/896959898
29 BOUNDARY ROAD NORTH EPPING,NORTH EPPING,2121,HORNSBY,1991,35,69.0,0.75,exact,18.4,1135.5,6.1,3.6,0.844,residential,,renovated_pre2005,0.512,,,,,-33.7606529,151.1018523,way/1000929070
201 MALTON ROAD NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,69.0,0.72,nearby,22.7,1065.6,7.0,3.8,0.855,residential,,renovated_pre2005,0.211,,,,,-33.7547552,151.0889419,way/1024101091
53 LOFTUS ROAD PENNANT HILLS,PENNANT HILLS,2120,HORNSBY,1991,35,69.0,0.93,exact,36.9,1147.1,9.0,5.2,0.8,residential,,mid_tone,0.568,,,,,-33.7352089,151.0572335,way/1299504821
91 GROVER AVENUE CROMER,CROMER,2099,NORTHERN BEACHES,1986,40,69.0,0.65,exact,43.8,917.4,9.2,6.0,0.803,residential,,mid_tone,0.645,,,,,-33.7369857,151.2682065,way/1364759878
8 MCNAMARA ROAD CROMER,CROMER,2099,NORTHERN BEACHES,1998,28,69.0,0.85,exact,43.0,970.4,10.0,6.0,0.723,residential,,renovated_pre2005,0.46,,,,,-33.7336495,151.2659831,way/1364988971
44 WOODBURY ROAD ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,69.0,0.82,exact,40.2,2621.7,9.4,5.5,0.777,residential,,mid_tone,0.625,,,,,-33.7224019,151.1689935,way/1310969422
4 SCOTT PLACE ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,69.0,0.82,exact,44.3,1328.7,9.4,5.9,0.803,residential,,mid_tone,0.66,,,,,-33.7206687,151.1791717,way/1501755617
73 CAMBOURNE AVENUE ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,69.0,0.82,exact,42.2,1676.5,10.8,5.1,0.773,residential,,mid_tone,0.551,,,,,-33.7232437,151.1822478,way/1501760724
32 MIOWERA ROAD NORTH TURRAMURRA,NORTH TURRAMURRA,2074,KU-RING-GAI,1991,35,69.0,0.85,nearby,40.6,1891.9,9.3,4.5,0.973,residential,,renovated_pre2005,0.458,,,,,-33.7129462,151.1507361,way/1310948688
530 NEW SOUTH HEAD ROAD DOUBLE BAY,DOUBLE BAY,2028,WOOLLAHRA,1986,40,68.9,1.0,nearby,46.5,1195.4,7.5,6.8,0.908,residential,,mid_tone,0.702,,,,,-33.873782,151.2471201,way/835972660
21 HUNTER STREET DOVER HEIGHTS,DOVER HEIGHTS,2030,WAVERLEY,1991,35,68.9,0.75,nearby,28.4,1447.1,10.3,3.3,0.826,residential,,renovated_pre2005,0.412,,,,,-33.8701833,151.2837566,way/875174151
30 BULKARA ROAD BELLEVUE HILL,BELLEVUE HILL,2023,WOOLLAHRA,1986,40,68.9,0.78,nearby,68.6,1302.4,13.3,6.2,0.839,residential,,mid_tone,0.716,,,,,-33.877795,151.2495845,way/954966034
38 WOLSELEY ROAD POINT PIPER,POINT PIPER,2027,WOOLLAHRA,1986,40,68.9,0.94,exact,27.5,2853.6,11.5,4.0,0.598,residential,,dark_throughout,0.421,,,,,-33.869095,151.2501581,way/1225101595
53A SHADFORTH STREET MOSMAN,MOSMAN,2088,MOSMAN,1991,35,68.9,0.7,exact,43.0,966.7,9.0,4.8,0.999,residential,,renovated_pre2005,0.503,,,,,-33.8342141,151.2381094,way/1216771009
69A CAMMERAY ROAD CAMMERAY,CAMMERAY,2062,NORTH SYDNEY,2005,21,68.9,0.81,nearby,57.5,606.4,12.1,6.0,0.791,residential,,original_finish,0.858,,,,,-33.8200551,151.2242772,way/1511440300
18 MURRAY ROAD BEECROFT,BEECROFT,2119,HORNSBY,1986,40,68.9,1.0,nearby,72.3,1063.3,12.9,6.5,0.865,residential,,mid_tone,0.683,,,,,-33.7572865,151.0703119,way/814860200
55A CARLINGFORD ROAD EPPING,EPPING,2121,CITY OF PARRAMATTA,2005,21,68.9,0.41,exact,36.9,1387.6,9.3,4.7,0.854,residential,,original_finish,0.806,,,,,-33.7732235,151.0733164,way/937051291
11 BAILEY CRESCENT NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,68.9,1.0,nearby,43.1,1044.1,9.4,5.1,0.896,residential,,mid_tone,0.66,,,,,-33.7566368,151.0924781,way/1000929088
4 DEVON STREET NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,68.9,0.75,exact,41.9,1187.3,9.8,4.9,0.879,residential,,mid_tone,0.75,,,,,-33.759897,151.0947212,way/1001603076
18 KEELENDI ROAD WEST PENNANT HILLS,WEST PENNANT HILLS,2125,THE HILLS SHIRE,1991,35,68.9,0.75,nearby,47.0,1083.1,10.8,5.6,0.782,residential,2,renovated_pre2005,0.43,,,,,-33.7370634,151.0533142,way/1326199913
11 LYNWOOD CLOSE PENNANT HILLS,PENNANT HILLS,2120,HORNSBY,1991,35,68.9,0.7,exact,53.4,1194.6,10.7,5.4,0.926,residential,,renovated_pre2005,0.4,,,,,-33.7325879,151.0687304,way/1308430656
17 FULBOURNE AVENUE PENNANT HILLS,PENNANT HILLS,2120,HORNSBY,1991,35,68.9,0.59,exact,57.6,1457.8,11.6,5.3,0.933,residential,,renovated_pre2005,0.397,,,,,-33.7336886,151.0737219,way/1308431232
19 LOCH MAREE AVENUE THORNLEIGH,THORNLEIGH,2120,HORNSBY,1991,35,68.9,0.61,exact,39.4,1064.3,9.7,4.8,0.847,residential,,renovated_pre2005,0.426,,,,,-33.7279007,151.0859425,way/1329312067
2 THE PROMENADE CHELTENHAM,CHELTENHAM,2119,HORNSBY,1986,40,68.9,0.69,exact,39.9,1672.9,8.2,7.0,0.697,residential,,dark_throughout,0.397,,,,,-33.7576181,151.0743426,way/1335933444
64 GEORGE MOBBS DRIVE CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1986,40,68.9,0.53,exact,29.6,1399.4,6.1,5.9,0.819,residential,2,mid_tone,0.72,,,,,-33.7466803,151.0024141,way/689821020
18 WOODHILL STREET CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1986,40,68.9,1.0,nearby,37.6,1016.4,9.0,4.8,0.873,residential,,mid_tone,0.703,,,,,-33.7411676,151.0014333,way/678979564
20 COPPERLEAF PLACE CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1991,35,68.9,0.92,exact,39.5,3220.0,9.1,4.8,0.902,residential,,mid_tone,0.564,,,,,-33.7446853,151.0177179,way/681293054
24 MELIA COURT CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1991,35,68.9,0.52,exact,21.7,881.6,6.8,5.0,0.637,residential,,renovated_pre2005,0.346,,,,,-33.7320739,151.0224823,way/1311469268
25 MAXWELL PARADE FRENCHS FOREST,FRENCHS FOREST,2086,NORTHERN BEACHES,1986,40,68.9,0.67,nearby,28.2,1010.1,7.7,3.7,0.998,residential,,renovated_pre2005,0.338,,,,,-33.7573513,151.2224079,way/868518694
53 MAYBROOK AVENUE CROMER,CROMER,2099,NORTHERN BEACHES,1986,40,68.9,0.52,exact,46.0,814.4,9.1,7.8,0.645,residential,,mid_tone,0.6,,,,,-33.7349776,151.2633361,way/1364304648
44 HANCOCK DRIVE CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,68.9,0.95,nearby,33.5,1164.9,7.7,4.3,0.999,residential,,renovated_pre2005,0.407,,,,,-33.7156633,151.0359604,way/1277838620
18 KEIGHRAN PLACE CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,68.9,0.59,exact,39.5,1221.9,8.8,4.5,0.999,residential,,renovated_pre2005,0.5,,,,,-33.7147297,151.0399005,way/1294735854
90 BASSETT STREET MONA VALE,MONA VALE,2103,NORTHERN BEACHES,1986,40,68.9,0.79,exact,45.7,650.1,9.9,5.5,0.836,residential,,mid_tone,0.679,,,,,-33.6718978,151.3076638,way/1331559057
58 ALBYN ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,2005,21,68.8,0.85,nearby,29.5,1235.9,8.2,3.6,0.998,residential,,original_finish,0.835,,,,,-33.8792037,151.086929,way/565667304
86 REDMYRE ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,68.8,1.0,exact,74.1,1775.9,12.1,6.1,0.999,residential,,dark_throughout,0.497,,,,,-33.8759849,151.0850533,way/565667363
36-38 BERESFORD ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,68.8,1.0,exact,41.2,3047.1,9.1,4.5,0.999,residential,,dark_throughout,0.492,,,,,-33.8713935,151.0858988,way/568398599
6 MENA STREET NORTH STRATHFIELD,NORTH STRATHFIELD,2137,CANADA BAY,2005,21,68.8,0.74,exact,25.4,831.9,6.6,3.9,0.999,residential,,original_finish,0.949,,,,,-33.854531,151.0844292,way/677396046
127 MURRIVERIE ROAD NORTH BONDI,NORTH BONDI,2026,WAVERLEY,1998,28,68.8,0.44,nearby,39.1,590.5,9.0,4.3,1.0,residential,,original_finish,0.959,,,,,-33.883064,151.2824729,way/889245602
667A OLD SOUTH HEAD ROAD ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1998,28,68.8,0.45,exact,42.0,356.3,9.9,4.4,0.958,residential,,original_finish,1.067,,,,,-33.864772,151.2784856,way/955398574
41 MIDDLE HEAD ROAD MOSMAN,MOSMAN,2088,MOSMAN,1991,35,68.8,1.0,exact,37.2,3361.3,8.6,4.3,0.998,residential,,mid_tone,0.566,,,,,-33.8331776,151.2517668,way/1535188958
21 JOHNSON STREET CHATSWOOD,CHATSWOOD,2067,WILLOUGHBY,2005,21,68.8,0.65,nearby,50.0,3069.1,10.7,5.3,0.878,residential,,original_finish,0.92,,,,,-33.7996705,151.1853664,way/931252337
44 UPPER CLIFF ROAD NORTHWOOD,NORTHWOOD,2066,LANE COVE,2005,21,68.8,0.54,nearby,38.1,1368.0,9.2,5.3,0.783,residential,,original_finish,0.864,,,,,-33.8285343,151.180642,way/1526394879
18 DEWDNEY ROAD EMU PLAINS,EMU PLAINS,2750,PENRITH,1986,40,68.8,0.99,nearby,43.4,1012.4,9.1,5.5,0.867,residential,,mid_tone,0.74,,,,,-33.7548439,150.6666365,way/461493960
12 WINIFRED AVENUE EPPING,EPPING,2121,CITY OF PARRAMATTA,2005,21,68.8,0.29,exact,37.2,1381.3,8.7,5.1,0.836,residential,,original_finish,0.976,,,,,-33.779912,151.0894238,way/969967351
64 FRANCIS GREENWAY DRIVE CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,68.8,1.0,exact,39.4,1918.9,9.0,4.4,0.999,residential,,mid_tone,0.617,,,,,-33.7274823,151.0499425,way/1290250874
33 MANUKA CIRCLE CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,68.8,1.0,exact,31.7,1429.9,7.4,4.3,0.999,residential,,mid_tone,0.553,,,,,-33.7255608,151.0436089,way/1292598093
102 FRANCIS GREENWAY DRIVE CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,68.8,1.0,exact,41.0,2598.2,8.2,5.0,0.999,residential,,mid_tone,0.574,,,,,-33.7262566,151.0521121,way/1294973797
36 CEDARWOOD DRIVE CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,68.8,1.0,exact,37.0,2468.3,8.1,4.5,1.0,residential,,mid_tone,0.66,,,,,-33.7324326,151.0488263,way/1298736464
81 NEW FARM ROAD WEST PENNANT HILLS,WEST PENNANT HILLS,2125,THE HILLS SHIRE,1998,28,68.8,0.72,exact,31.7,1361.8,7.7,5.2,0.788,residential,3,renovated_pre2005,0.5,,,,,-33.7335253,151.0529303,way/1299707169
93 WONGALA CRESCENT PENNANT HILLS,PENNANT HILLS,2120,HORNSBY,1991,35,68.8,0.8,exact,45.4,1023.3,11.1,5.7,0.714,residential,,mid_tone,0.566,,,,,-33.7418663,151.0659097,way/1316574832
2 RORKE STREET BEECROFT,BEECROFT,2119,HORNSBY,1998,28,68.8,0.6,exact,33.6,1322.6,9.7,5.4,0.649,residential,,renovated_pre2005,0.389,,,,,-33.7512503,151.0570307,way/1329812884
20 THE CRESCENT BEECROFT,BEECROFT,2119,HORNSBY,1986,40,68.8,1.0,exact,50.4,1490.3,10.4,4.8,0.999,residential,,dark_throughout,0.419,,,,,-33.7546337,151.0714698,way/1333462399
2 FAIRBURN AVENUE WEST PENNANT HILLS,WEST PENNANT HILLS,2125,THE HILLS SHIRE,1991,35,68.8,1.0,exact,47.6,1389.2,8.8,5.4,1.0,residential,,mid_tone,0.614,,,,,-33.7440507,151.050344,way/1340224904
15 HENRY STREET BAULKHAM HILLS,BAULKHAM HILLS,2153,THE HILLS SHIRE,1986,40,68.8,0.88,nearby,41.0,1039.0,9.3,5.3,0.823,residential,,mid_tone,0.607,,,,,-33.7525587,150.9978559,way/690362808
